Date,SL,SH,NL,NH
2011-11-01,0.0,0.0,0.0,0.0
2011-11-02,0.0104213,0.0238881,0.051849,0.0234933
2011-11-03,0.0233157,0.0546548,0.102379,0.0466984
2011-11-04,0.0362093,0.084856,0.152909,0.0698888
2011-11-05,0.049102,0.113534,0.203439,0.0930643
2011-11-06,0.0619939,0.142708,0.253968,0.116225
2011-11-07,0.0748849,0.168181,0.304498,0.139371
2011-11-08,0.0877749,0.196449,0.355027,0.162502
2011-11-09,0.100664,0.223414,0.405557,0.185618
2011-11-10,0.113552,0.251036,0.456086,0.208719
2011-11-11,0.126439,0.27686,0.506615,0.231805
2011-11-12,0.139326,0.300711,0.557144,0.254876
2011-11-13,0.152211,0.323231,0.607673,0.277932
2011-11-14,0.165095,0.342984,0.658201,0.300973
2011-11-15,0.177978,0.357135,0.708729,0.323998
2011-11-16,0.190859,0.367792,0.759257,0.347009
2011-11-17,0.20374,0.378289,0.809785,0.370005
2011-11-18,0.216619,0.388949,0.860312,0.392985
2011-11-19,0.229497,0.399225,0.910839,0.415951
2011-11-20,0.242374,0.408896,0.961365,0.438901
2011-11-21,0.25525,0.420008,1.02242,0.461836
2011-11-22,0.268124,0.431287,1.12347,0.484755
2011-11-23,0.280996,0.44205,1.22451,0.50766
2011-11-24,0.293867,0.453201,1.32556,0.530548
2011-11-25,0.306737,0.46377,1.42659,0.553422
2011-11-26,0.319605,0.473434,1.52762,0.57628
2011-11-27,0.332472,0.482303,1.62865,0.599122
2011-11-28,0.345337,0.492078,1.72966,0.621949
2011-11-29,0.3582,0.501793,1.83067,0.64476
2011-11-30,0.371061,0.51156,1.93165,0.667556
2011-12-01,0.383921,0.520973,2.03262,0.690336
2011-12-02,0.396779,0.530036,2.13356,0.7131
2011-12-03,0.406099,0.537855,2.22692,0.734709
2011-12-04,0.413247,0.545323,2.31804,0.755623
2011-12-05,0.420388,0.552333,2.40911,0.776536
2011-12-06,0.427523,0.558795,2.50012,0.797447
2011-12-07,0.434651,0.565299,2.59106,0.818357
2011-12-08,0.441772,0.571278,2.68193,0.839266
2011-12-09,0.448887,0.576661,2.77269,0.860173
2011-12-10,0.455994,0.580804,2.86332,0.881078
2011-12-11,0.463094,0.584602,2.9538,0.901982
2011-12-12,0.470187,0.587931,3.04408,0.922884
2011-12-13,0.477273,0.589794,3.13414,0.943784
2011-12-14,0.484351,0.592175,3.2239,0.964682
2011-12-15,0.491422,0.596926,3.31332,0.985578
2011-12-16,0.498484,0.599785,3.4023,1.01257
2011-12-17,0.50554,0.601119,3.49076,1.05434
2011-12-18,0.512587,0.601803,3.57857,1.09611
2011-12-19,0.519626,0.601008,3.66561,1.13787
2011-12-20,0.526657,0.601312,3.75172,1.17962
2011-12-21,0.533679,0.600962,3.83669,1.22135
2011-12-22,0.540693,0.600298,3.9203,1.26307
2011-12-23,0.547699,0.599831,4.0023,1.30477
2011-12-24,0.554696,0.600659,4.08239,1.34645
2011-12-25,0.561684,0.601618,4.16025,1.38811
2011-12-26,0.568663,0.603482,4.23552,1.42975
2011-12-27,0.575633,0.605464,4.30782,1.47137
2011-12-28,0.582594,0.606357,4.37677,1.51296
2011-12-29,0.589546,0.606621,4.44198,1.55452
2011-12-30,0.596488,0.605888,4.50311,1.59605
2011-12-31,0.603987,0.606755,4.56349,1.63903
2012-01-01,0.613474,0.608776,4.62165,1.68329
2012-01-02,0.622955,0.613135,4.67445,1.7275
2012-01-03,0.63243,0.615024,4.72177,1.77167
2012-01-04,0.641899,0.61603,4.76365,1.81579
2012-01-05,0.651362,0.617109,4.80026,1.85985
2012-01-06,0.660819,0.618279,4.83189,1.90386
2012-01-07,0.670269,0.619707,4.85892,1.94779
2012-01-08,0.679713,0.620846,4.88177,1.99164
2012-01-09,0.689151,0.622859,4.90092,2.03542
2012-01-10,0.698581,0.625083,4.91683,2.0791
2012-01-11,0.708005,0.62939,4.92997,2.12267
2012-01-12,0.717421,0.633934,4.94076,2.16614
2012-01-13,0.726831,0.637791,4.94956,2.20948
2012-01-14,0.736233,0.641998,4.95672,2.25269
2012-01-15,0.745627,0.646996,4.96252,2.29575
2012-01-16,0.755014,0.651775,4.9672,2.33864
2012-01-17,0.764393,0.654204,4.97098,2.38135
2012-01-18,0.773764,0.655607,4.97401,2.42386
2012-01-19,0.783126,0.657061,4.97645,2.46615
2012-01-20,0.792481,0.658971,4.97841,2.5082
2012-01-21,0.801826,0.659531,4.97998,2.54999
2012-01-22,0.811164,0.664105,4.98124,2.59149
2012-01-23,0.820492,0.667132,4.98224,2.63268
2012-01-24,0.829811,0.669765,4.98305,2.67353
2012-01-25,0.839121,0.672158,4.98369,2.714
2012-01-26,0.848421,0.676764,4.9842,2.75407
2012-01-27,0.857712,0.681476,4.98461,2.79371
2012-01-28,0.866993,0.685514,4.98494,2.83286
2012-01-29,0.876264,0.68843,4.9852,2.8715
2012-01-30,0.885525,0.6904,4.98541,2.90959
2012-01-31,0.894638,0.690628,4.98558,2.94708
2012-02-01,0.903671,0.690028,4.98571,2.98394
2012-02-02,0.912693,0.688428,4.98582,3.02011
2012-02-03,0.921704,0.687636,4.9859,3.05555
2012-02-04,0.930703,0.689461,4.98597,3.09022
2012-02-05,0.93969,0.692615,4.98602,3.12407
2012-02-06,0.948666,0.694262,4.98607,3.15706
2012-02-07,0.957629,0.698308,4.9861,3.18914
2012-02-08,0.96658,0.703344,4.98613,3.22028
2012-02-09,0.975518,0.708143,4.98615,3.25042
2012-02-10,0.984443,0.714135,4.98617,3.27955
2012-02-11,0.993355,0.720163,4.98618,3.30762
2012-02-12,1.00448,0.727147,4.98619,3.3346
2012-02-13,1.02223,0.734391,4.9862,3.36048
2012-02-14,1.03992,0.739503,4.98621,3.38523
2012-02-15,1.05755,0.742894,4.98622,3.40884
2012-02-16,1.07512,0.743905,4.98622,3.43131
2012-02-17,1.09263,0.745597,4.98622,3.45263
2012-02-18,1.11007,0.750304,4.98623,3.47281
2012-02-19,1.12744,0.753014,4.98623,3.49186
2012-02-20,1.14474,0.756447,4.98623,3.50979
2012-02-21,1.16197,0.761465,4.98623,3.52664
2012-02-22,1.17912,0.766704,4.98623,3.54242
2012-02-23,1.19619,0.770255,4.98623,3.55717
2012-02-24,1.21318,0.774559,4.98623,3.57092
2012-02-25,1.23008,0.77943,4.98624,3.58371
2012-02-26,1.2469,0.783804,4.98624,3.59559
2012-02-27,1.26363,0.784801,4.98624,3.60659
2012-02-28,1.28026,0.784191,4.98624,3.61676
2012-02-29,1.2968,0.783614,4.98624,3.62614
